#You can edit this file.
#It contains variants not included in the Unicode standard.
#code;character;name;variant;plain_code;plain_character
2070;⁰;SUPERSCRIPT ZERO;Superscript;0030;0
2080;₀;SUBSCRIPT ZERO;Subscript;0030;0
FF10;０;FULLWIDTH DIGIT ZERO;Fullwidth;0030;0
1F101;🄁;DIGIT ZERO COMMA;Comma;0030;0
1F100;🄀;DIGIT ZERO FULL STOP;FullStop;0030;0
24EA;⓪;CIRCLED DIGIT ZERO;Circled;0030;0
2474;⑴;PARENTHESIZED DIGIT ONE;Parenthesized;0030;0
00B9;¹;SUPERSCRIPT ONE;Superscript;0031;1
2081;₁;SUBSCRIPT ONE;Subscript;0031;1
FF11;１;FULLWIDTH DIGIT ONE;Fullwidth;0031;1
1F102;🄂;DIGIT ONE COMMA;Comma;0031;1
2488;⒈;DIGIT ONE FULL STOP;FullStop;0031;1
2460;①;CIRCLED DIGIT ONE;Circled;0031;1
2475;⑵;PARENTHESIZED DIGIT TWO;Parenthesized;0031;1
00B2;²;SUPERSCRIPT TWO;Superscript;0032;2
2082;₂;SUBSCRIPT TWO;Subscript;0032;2
FF12;２;FULLWIDTH DIGIT TWO;Fullwidth;0032;2
1F103;🄃;DIGIT TWO COMMA;Comma;0032;2
2489;⒉;DIGIT TWO FULL STOP;FullStop;0032;2
2461;②;CIRCLED DIGIT TWO;Circled;0032;2
2476;⑶;PARENTHESIZED DIGIT THREE;Parenthesized;0032;2
00B3;³;SUPERSCRIPT THREE;Superscript;0033;3
2083;₃;SUBSCRIPT THREE;Subscript;0033;3
FF13;３;FULLWIDTH DIGIT THREE;Fullwidth;0033;3
1F104;🄄;DIGIT THREE COMMA;Comma;0033;3
248A;⒊;DIGIT THREE FULL STOP;FullStop;0033;3
2462;③;CIRCLED DIGIT THREE;Circled;0033;3
2477;⑷;PARENTHESIZED DIGIT FOUR;Parenthesized;0033;3
2074;⁴;SUPERSCRIPT FOUR;Superscript;0034;4
2084;₄;SUBSCRIPT FOUR;Subscript;0034;4
FF14;４;FULLWIDTH DIGIT FOUR;Fullwidth;0034;4
1F105;🄅;DIGIT FOUR COMMA;Comma;0034;4
248B;⒋;DIGIT FOUR FULL STOP;FullStop;0034;4
2463;④;CIRCLED DIGIT FOUR;Circled;0034;4
2478;⑸;PARENTHESIZED DIGIT FIVE;Parenthesized;0034;4
2075;⁵;SUPERSCRIPT FIVE;Superscript;0035;5
2085;₅;SUBSCRIPT FIVE;Subscript;0035;5
FF15;５;FULLWIDTH DIGIT FIVE;Fullwidth;0035;5
1F106;🄆;DIGIT FIVE COMMA;Comma;0035;5
248C;⒌;DIGIT FIVE FULL STOP;FullStop;0035;5
2464;⑤;CIRCLED DIGIT FIVE;Circled;0035;5
2479;⑹;PARENTHESIZED DIGIT SIX;Parenthesized;0035;5
2076;⁶;SUPERSCRIPT SIX;Superscript;0036;6
