#Do not edit! This file is automatically extracted from Unicode Data.
#code;character;name;variant;plain_code;plain_character
2102;ℂ;DOUBLE-STRUCK CAPITAL C;DoubleStruck;0043;C
210A;ℊ;SCRIPT SMALL G;Script;0067;g
210B;ℋ;SCRIPT CAPITAL H;Script;0048;H
210C;ℌ;BLACK-LETTER CAPITAL H;Fraktur;0048;H
210D;ℍ;DOUBLE-STRUCK CAPITAL H;DoubleStruck;0048;H
210E;ℎ;PLANCK CONSTANT;Script;0068;h
210F;ℏ;PLANCK CONSTANT OVER TWO PI;Script;0127;ħ
2110;ℐ;SCRIPT CAPITAL I;Script;0049;I
2111;ℑ;BLACK-LETTER CAPITAL I;Fraktur;0049;I
2112;ℒ;SCRIPT CAPITAL L;Script;004C;L
2113;ℓ;SCRIPT SMALL L;Script;006C;l
2115;ℕ;DOUBLE-STRUCK CAPITAL N;DoubleStruck;004E;N
2119;ℙ;DOUBLE-STRUCK CAPITAL P;DoubleStruck;0050;P
211A;ℚ;DOUBLE-STRUCK CAPITAL Q;DoubleStruck;0051;Q
211B;ℛ;SCRIPT CAPITAL R;Script;0052;R
211C;ℜ;BLACK-LETTER CAPITAL R;Fraktur;0052;R
211D;ℝ;DOUBLE-STRUCK CAPITAL R;DoubleStruck;0052;R
2124;ℤ;DOUBLE-STRUCK CAPITAL Z;DoubleStruck;005A;Z
2128;ℨ;BLACK-LETTER CAPITAL Z;Fraktur;005A;Z
212C;ℬ;SCRIPT CAPITAL B;Script;0042;B
212D;ℭ;BLACK-LETTER CAPITAL C;Fraktur;0043;C
212F;ℯ;SCRIPT SMALL E;Script;0065;e
2130;ℰ;SCRIPT CAPITAL E;Script;0045;E
2131;ℱ;SCRIPT CAPITAL F;Script;0046;F
2133;ℳ;SCRIPT CAPITAL M;Script;004D;M
2134;ℴ;SCRIPT SMALL O;Script;006F;o
2139;ℹ;INFORMATION SOURCE;Other;0069;i
213C;ℼ;DOUBLE-STRUCK SMALL PI;DoubleStruck;03C0;π
213D;ℽ;DOUBLE-STRUCK SMALL GAMMA;DoubleStruck;03B3;γ
213E;ℾ;DOUBLE-STRUCK CAPITAL GAMMA;DoubleStruck;0393;Γ
213F;ℿ;DOUBLE-STRUCK CAPITAL PI;DoubleStruck;03A0;Π
2140;⅀;DOUBLE-STRUCK N-ARY SUMMATION;DoubleStruck;2211;∑
2145;ⅅ;DOUBLE-STRUCK ITALIC CAPITAL D;DoubleStruckItalic;0044;D
2146;ⅆ;DOUBLE-STRUCK ITALIC SMALL D;DoubleStruckItalic;0064;d
2147;ⅇ;DOUBLE-STRUCK ITALIC SMALL E;DoubleStruckItalic;0065;e
2148;ⅈ;DOUBLE-STRUCK ITALIC SMALL I;DoubleStruckItalic;0069;i
2149;ⅉ;DOUBLE-STRUCK ITALIC SMALL J;DoubleStruckItalic;006A;j
FB20;ﬠ;HEBREW LETTER ALTERNATIVE AYIN;Other;05E2;ע
FB21;ﬡ;HEBREW LETTER WIDE ALEF;Wide;05D0;א
FB22;ﬢ;HEBREW LETTER WIDE DALET;Wide;05D3;ד
FB23;ﬣ;HEBREW LETTER WIDE HE;Wide;05D4;ה
FB24;ﬤ;HEBREW LETTER WIDE KAF;Wide;05DB;כ
FB25;ﬥ;HEBREW LETTER WIDE LAMED;Wide;05DC;ל
FB26;ﬦ;HEBREW LETTER WIDE FINAL MEM;Wide;05DD;ם
FB27;ﬧ;HEBREW LETTER WIDE RESH;Wide;05E8;ר
FB28;ﬨ;HEBREW LETTER WIDE TAV;Wide;05EA;ת
FB29;﬩;HEBREW LETTER ALTERNATIVE PLUS SIGN;Other;002B;+
1D400;𝐀;MATHEMATICAL BOLD CAPITAL A;Bold;0041;A
